ins_code,isin,cisin,l18,l30
17617474823279712,IRO3ASPZ0001,IRO3ASPZ0008,آ س پ,آ.س.پ
59612098290740355,IRO1ABAD0001,IRO1ABAD0002,آباد,توریستی ورفاهی آبادگران ایران
37661500521100963,IRO1NBAB0001,IRO1NBAB0009,آبادا,تولید نیروی برق آبادان
40912525017440979,IRT3ABSF0001,IRT3ABSF0007,آبنوس,صندوق س.سهامی سهام نگر کیمیا-س
9987529074833218,IRO7ABYP0001,IRO7ABYP0004,آبین,کشت و صنعت آبشیرین
56987424987755487,IRTKATSH0001,IRTKATSH0006,آتش,صندوق س.پشتوانه طلا آتش فیروزه
22839330962768817,IRT3SMIF0001,IRT3SMIF0006,آتیمس,صندوق س.آرمان آتیه درخشان مس-س
47492157735162813,IRT1ATML0001,IRT1ATML0007,آتیه ملت,صندوق س آتیه ملت-ثابت
43358402418932595,IRT3KAMF0001,IRT3KAMF0002,آذرین,صندوق س.بخشی فلزات کیمیا-ب
14230681955555738,IRT1ARAM0001,IRT1ARAM0002,آرام,صندوق س شاخصی آرام مفید
7104496710718469,IRT1ARAS0001,IRT1ARAS0006,آرامش,صندوق سرمایه گذاری آرامش-ثابت
9956888831468521,IRO3ARDZ0001,IRO3ARDZ0003,آردینه,نشاسته و گلوکز آردینه
38738476064699383,IRO7ARMP0001,IRO7ARMP0000,آرمان,بیمه آرمان
41024100982486985,IRR7ARMP0101,IRR7ARMP0102,آرمانح,ح.بیمه آرمان
8603978909726038,IRT3VC030001,IRT3VC030007,آرمانی,ص.س.جسورانه فناوری آرمانی
55127657985997520,IRO3APOZ0001,IRO3APOZ0002,آریا,پلیمر آریا ساسول
31987503418964901,IRO3PAIP0001,IRO3PAIP0002,آریان,سرمایه گذاری پارس آریان
66647734446882310,IRR3PAIP0101,IRR3PAIP0104,آریانح,ح . سرمایه گذاری پارس آریان	
10063040211859748,IRT3ASAF0001,IRT3ASAF0008,آس,صندوق س. گنجینه ارمغان الماس-س
66682662312253625,IRT3SSAF0001,IRT3SSAF0008,آساس,صندوق س.آسمان آرمانی سهام-س
36592972482259020,IRT3CASF0001,IRT3CASF0006,آسام,صندوق س.آرمان سپهر آتی-م
24869832924911721,IRT3MAOF0001,IRT3MAOF0008,آسامید,صندوق س.مشترک آسمان امید -د
65640021232361587,IRT3ASNF0001,IRT3ASNF0003,آسان,صندوق س.مشترک گنجینه مهر-د
16582961426722208,IRT3SUDF0001,IRT3SUDF0001,آسود,ص.س.درآمد ثابت آرمان اقتصاد-د
51106317433079213,IRO1ASIA0001,IRO1ASIA0008,آسیا,بیمه آسیا
11301273980316268,IRT3VC040001,IRT3VC040006,آشناتک,ص.س.ج.آشناتک ایرانیان
37073830945037165,IRT1AFAG0001,IRT1AFAG0004,آفاق,صندوق س نوع دوم افق آتی-ثابت
